,url,stars,material
24,https://shop.lululemon.com/p/women-tanks/Love-Tank-Pleated/_/prod8980076,"['594', '127', '88', '96', '86']","['92% Pima cotton', '8% Lycra® elastane']"
25,https://shop.lululemon.com/p/women-tanks/All-Yours-Tank/_/prod9600540,"['125', '29', '20', '16', '16']","['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']"
26,https://shop.lululemon.com/p/women-tanks/Ebb-To-Street-Tank/_/prod2380186,"['446', '86', '65', '46', '33']","['85% Nylon', '15% Elastane', '95% Nylon', '5% Elastane', '100% Nylon']"
27,https://shop.lululemon.com/p/women-tanks/All-Tied-Up-Tank/_/prod6020285,"['460', '95', '34', '41', '25']","['92% Pima cotton', '8% Lycra® elastane']"
28,https://shop.lululemon.com/p/women-tanks/Cool-Racerback-II-Nulu/_/prod8780623,"['416', '82', '47', '52', '31']","['81% Nylon', '19% Lycra® elastane']"
29,https://shop.lululemon.com/p/women-tanks/Sculpt-Tank/_/prod5020018,"['478', '114', '61', '48', '55']","['73% Nylon', '27% Xtra life lycra® elastane', '89% Nylon', '11% Elastane']"
30,https://shop.lululemon.com/p/womens-t-shirts/Love-Tee-V/_/prod8690610,"['205', '68', '51', '71', '76']","['92% Pima cotton', '8% Lycra® elastane']"
31,https://shop.lululemon.com/p/tops-long-sleeve/Run-Briskly-12-Zip/_/prod9750534,[],"['56% Polyester', '33% Coolmax® polyester', '11% Lycra® elastane', '83% Nylon', '17% Lycra® elastane']"
32,https://shop.lululemon.com/p/women-tanks/Cool-Racerback-II/_/prod8260230,[],[]
33,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Breathe-LS-Squad/_/prod10210120,[],"['66% Nylon', '31% Polyester', '3% X-static® nylon']"
34,https://shop.lululemon.com/p/womens-t-shirts/Swiftly-Tech-SS-Breeze/_/prod9030598,[],"['51% Nylon', '44% Polyester', '3% Elastane', '2% X-static® nylon']"
35,https://shop.lululemon.com/p/womens-t-shirts/Cates-Tee/_/prod9271065,[],"['92% Pima cotton', '8% Lycra® elastane']"
36,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Breathe-LS/_/prod10210121,"['40', '9', '2', '2', '1']","['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']"
37,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Breathe-SS/_/prod10120025,[],"['54% Nylon', '40% Recycled polyester', '3% Elastane', '3% X-static® nylon']"
38,https://shop.lululemon.com/p/women-tanks/All-Yours-Tank-Tie-Dye/_/prod10390093,[],"['100% Pima cotton', '98% Pima cotton', '2% Lycra® elastane']"
39,https://shop.lululemon.com/p/tops-short-sleeve/Love-Crew-III-Waffle/_/prod10400457,"['3', '2', '3', '1', '0']",['100% Cotton']
40,https://shop.lululemon.com/p/womens-t-shirts/Swiftly-Tech-Short-Sleeve-2-Race/_/prod9820343,"['74', '18', '15', '4', '14']","['52% Nylon', '41% Polyester', '4% Elastane', '3% X-static® nylon']"
41,https://shop.lululemon.com/p/womens-t-shirts/Love-Crew-Splatter/_/prod10280035,"['7', '1', '0', '0', '0']","['92% Pima cotton', '8% Lycra® elastane']"
42,https://shop.lululemon.com/p/tops-short-sleeve/All-Yours-Tee-Graphic/_/prod9960626,"['8', '1', '0', '0', '0']","['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']"
43,https://shop.lululemon.com/p/women-tanks/Muscle-Love-Crop-Tank-Tough/_/prod9820380,"['23', '3', '1', '4', '2']","['88% Nylon', '12% Elastane']"
44,https://shop.lululemon.com/p/women-tanks/Swiftly-Tech-RB-2-Race/_/prod9750460,"['240', '33', '7', '8', '6']","['51% Nylon', '44% Polyester', '3% Elastane', '2% X-static® nylon']"
45,https://shop.lululemon.com/p/tops-long-sleeve/Rest-Less-Pullover-BD/_/prod10280037,[],"['65% Nylon', '30% Polyester', '5% Elastane']"
46,https://shop.lululemon.com/p/women-tanks/Swiftly-Relaxed-Tank/_/prod9820391,[],"['51% Nylon', '44% Polyester', '3% Elastane', '2% X-static® nylon']"
47,https://shop.lululemon.com/p/tops-short-sleeve/All-Yours-Crop-Tee/_/prod9960620,[],"['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']"
48,https://shop.lululemon.com/p/tops-long-sleeve/Rise-and-Run-Long-Sleeve/_/prod9960797,[],"['73% Nylon', '27% Xtra life lycra® elastane']"
49,https://shop.lululemon.com/p/women-tanks/Power-Y-Tank-Everlux/_/prod9750456,[],"['89% Nylon', '11% Elastane', '56% Polyester', '33% Coolmax® polyester', '11% Lycra® elastane', '77% Nylon', '23% Lycra® elastane']"
50,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Tech-Short-Sleeve-2-City/_/prod10080064,[],"['50% Nylon', '44% Recycled polyester', '3% Elastane', '3% X-static® nylon']"
51,https://shop.lululemon.com/p/women-tanks/All-Yours-Crop-Tank/_/prod9960619,[],"['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']"
52,https://shop.lululemon.com/p/women-tanks/Swiftly-Breeze-Tank/_/prod9270989,[],"['51% Nylon', '43% Polyester', '3% Elastane', '3% X-static® nylon']"
53,https://shop.lululemon.com/p/women-tanks/Power-Pivot-Tank/_/prod9750454,[],"['72% Nylon', '28% Xtra life lycra® elastane']"
54,https://shop.lululemon.com/p/women-tanks/Airy-Breakaway-Tank/_/prod9960609,[],"['73% Nylon', '27% Xtra life lycra® elastane', '80% Nylon', '20% Elastane']"
55,https://shop.lululemon.com/p/tops-long-sleeve/Swiftly-Tech-LS-Breeze/_/prod8510157,[],"['53% Nylon', '41% Polyester', '3% Elastane', '3% X-static® nylon']"
56,https://shop.lululemon.com/p/women-tanks/Cool-RB-II-Nulu-Diamond-Dye-Race/_/prod10390025,[],"['81% Nylon', '19% Lycra® elastane']"
57,https://shop.lululemon.com/p/tops-long-sleeve/Runderful-LS/_/prod600102,[],"['91% Nylon', '9% Elastane', '83% Nylon', '17% Lycra® elastane']"
58,https://shop.lululemon.com/p/women-tanks/Power-Pivot-Tank-Everlux/_/prod9820381,[],"['77% Nylon', '23% Lycra® elastane']"
59,https://shop.lululemon.com/p/womens-t-shirts/Train-to-Be-SS/_/prod9600524,"['58', '11', '6', '5', '11']","['70% Nylon', '30% Polyester']"
60,https://shop.lululemon.com/p/tops-short-sleeve/Swiftly-Breathe-SS-Squad/_/prod10270106,[],"['66% Nylon', '31% Polyester', '3% X-static® nylon']"
61,https://shop.lululemon.com/p/women-tanks/Swiftly-Breathe-Crop-Tank/_/prod9960840,[],"['64% Nylon', '33% Polyester', '3% X-static® nylon']"
62,https://shop.lululemon.com/p/tops-long-sleeve/Breeze-By-Long-Sleeve-Squad/_/prod8900601,"['115', '27', '19', '15', '13']","['66% Nylon', '31% Polyester', '3% X-static® nylon']"
63,https://shop.lululemon.com/p/women-tanks/All-Yours-Tank-Graphic/_/prod10400394,"['1', '0', '0', '0', '0']","['69% Pima cotton', '23% Lyocell', '8% Lycra® elastane']"
64,https://shop.lululemon.com/p/tops-long-sleeve/Its-Rulu-Long-Sleeve/_/prod9200634,[],"['91% Nylon', '9% Lycra® elastane', '72% Nylon', '28% Xtra life lycra® elastane']"
